Código,Nome,Volume,Última (R$),Variação
DOHL4,Döhler,800,5,50,-0,72%
EQMA3B,Equatorial Maranhão,700,25,80,+5,09%
TELB3,Telebras,700,18,00,+1,24%
AFLT3,Afluente T,600,9,43,+1,18%
PTNT3,Pettenati,600,9,31,+1,20%
SLED3,Saraiva,500,6,44,-0,16%
SNSY5,Sansuy,500,3,14,+0,64%
BGIP4,Banese,400,23,44,+0,60%
TEKA4,Teka,400,19,50,+1,04%
LIPR3,Eletropar,300,72,80,+0,00%
EKTR4,Elektro,300,39,00,-0,03%
GEPA3,Rio Paranapanema Energia,300,26,70,+0,19%
PLAS3,Plascar,300,8,79,+2,21%
MOAR3,Monteiro Aranha,200,425,00,+1,20%
UNIP5,Unipar,200,86,00,-0,56%
BAUH4,Excelsior,200,73,00,-0,01%
CEED3,CEEE D,200,25,00,+5,49%
GSHP3,General Shopping & Outlets,200,16,79,+0,00%
BRIV3,Alfa Investimento,200,10,37,+3,70%
BRIV4,Alfa Investimento,200,10,30,+3,10%
CTKA4,Karsten,200,10,10,+6,09%
IGTI4,Iguatemi,200,9,80,+0,93%
IGTI4,Jereissati Participações,200,9,80,+0,93%
CGAS3,Comgás,100,123,00,+2,48%
PEAB4,Participações Aliança da Bahia,100,72,00,-4,17%
ENMT3,Energisa MT,100,70,84,+1,34%
CPLE5,Copel,100,30,21,+5,63%
GEPA4,Rio Paranapanema Energia,100,26,22,-0,87%
BSLI3,Banco de Brasília,100,13,40,-3,60%
BDLL3,Bardella,100,11,86,-1,17%
SNSY3,Sansuy,100,5,00,+6,38%
BMKS3,Monark,32,349,90,+0,55%
EPAR3,EPAR3,2.300,12,79,+4,92%
CBEE3,Ampla Energia,1.100,13,27,-7,98%
PEAB3,Participações Aliança da Bahia,800,33,00,-0,87%
BRSR5,Banrisul,700,19,11,+7,97%
MERC4,Mercantil do Brasil Financeira,700,7,95,-3,05%
WHRL3,Whirlpool,600,4,63,+0,65%
HBTS5,Habitasul,200,42,00,+0,00%
NORD3,Nordon,200,6,73,-0,30%
TKNO4,Tekno,100,61,00,-3,94%
BGIP3,Banese,100,24,00,+0,00%
AHEB3,São Paulo Turismo,100,22,09,+0,00%
BSLI4,Banco de Brasília,100,12,39,+0,08%
BMEB3,Banco Mercantil do Brasil,100,12,35,+0,00%
RPAD5,Alfa Holdings,100,7,10,+0,00%
ENMT4,Energisa MT,5.900,71,85,+0,00%
FRIO3,Metalfrio,200,45,26,+0,00%
BNBR3,Banco do Nordeste,100,87,00,+2,96%
PATI3,Panatlântica,100,34,65,-1,00%
JOPA4,Josapar,100,33,80,-1,20%
CRIV3,Alfa Financeira,100,5,52,+3,76%
JOPA3,Josapar,900,21,51,-2,23%
GPAR3,CELGPAR,400,44,51,+6,18%
BMIN4,Banco Mercantil de Investimentos,400,15,00,+0,00%
CLSC3,Celesc,200,57,00,-3,23%
PATI4,Panatlântica,100,32,60,-6,86%
USIM6,Usiminas,3.000,16,35,+0,31%
DTCY3,Dtcom,1.600,6,00,+0,00%
CSRN3,COSERN,500,24,99,+4,17%
FIEI3,FIEI3,200,14,82,-1,20%
MODL3,Banco Modal,16.688.000,3,08,+0,33%
BRKM6,Braskem,2.400,18,86,-8,00%
CTKA3,Karsten,300,18,00,+4,71%
LUXM4,Trevisa,200,22,25,+3,58%
BMIN3,Banco Mercantil de Investimentos,200,21,75,+0,88%
ELET5,Eletrobras,100,80,00,+13,46%
SOND6,Sondotécnica,700,35,00,+8,19%
CSAB4,Cia. de Seg. Aliança da Bahia,400,45,99,+13,56%
RPAD6,Alfa Holdings,100,6,89,+1,77%
CSAB3,Cia. de Seg. Aliança da Bahia,100,30,07,-6,03%
MERC3,Mercantil do Brasil Financeira,51.500,15,28,+1,13%
DMFN3,DMFN3,100,12,60,+6,15%
BDLL4,Bardella,100,10,35,+0,49%
CALI3,Adolpho Lindenberg,500,13,50,+21,51%
CEGR3,Naturgy (CEG),100,85,00,-4,49%
BRGE8,Consórcio Alfa,100,10,03,+0,80%
CSRN6,COSERN,100,22,23,-0,22%
CRPG3,Tronox Pigmentos,100,40,00,-20,00%
MAPT3,Cemepe,300,30,05,+0,00%
SOND5,Sondotécnica,100,45,00,+12,50%
CSRN5,COSERN,100,25,98,-0,04%
AHEB6,São Paulo Turismo,100,18,51,-11,86%
CRDE3,CR2,400,16,00,+0,00%
ESTR3,Estrela,100,19,95,-1,34%
FESA3,Ferbasa,400,58,90,-7,35%
RPAD3,Alfa Holdings,700,7,45,+6,13%
IGBR3,IGB Eletrônica,700,175,99,+1,14%
COCE3,Coelce,100,48,62,+3,45%
BRGE11,Consórcio Alfa,100,9,99,+2,04%
BRGE6,Consórcio Alfa,400,9,45,-9,57%
MSPA4,Melhoramentos,100,40,00,+0,00%
MRSA6B,MRS Logística,200,22,00,-4,60%
BRGE7,Consórcio Alfa,400,9,29,+26,22%
AHEB5,São Paulo Turismo,100,18,50,+0,00%
DOHL3,Döhler,100,10,00,+0,00%
MWET3,Wetzel,200,13,28,-55,70%
EKTR3,Elektro,100,34,92,-3,19%
BRGE12,Consórcio Alfa,400,9,90,+0,10%
ODER4,Conservas Oderich,100,100,00,+12,35%
CEEB5,COELBA,100,35,24,+0,09%
EQPA7,Equatorial Energia Pará,300,7,01,-12,38%
PARD3,Hermes Pardini,1.861.800,18,10,+1,23%
CASN3,CASAN,100,10,43,-18,58%
WLMM3,WLM,500,20,00,-9,09%
MAPT4,Cemepe,200,6,82,-33,20%
CEED4,CEEE D,100,30,00,-14,29%
MTSA3,METISA,200,75,00,+0,00%
MRSA5B,MRS Logística,100,27,00,+22,39%
WIZS3,WIZS3,779.400,7,16,+1,99%
LLIS3,LLIS3,249.800,1,73,+2,98%
MSPA3,Melhoramentos,400,46,25,-7,52%
BRML3,BRMalls,16.132.900,8,26,+2,35%
DMMO3,Dommo Energia,3.254.800,1,76,-1,12%
EQPA5,Equatorial Energia Pará,100,8,64,+0,93%
GETT3,Getnet,46.500,2,40,+1,27%
GETT4,Getnet,18.500,2,40,+1,27%
SULA4,SulAmérica,18.600,7,63,+5,53%
SULA3,SulAmérica,4.000,7,43,+1,50%
BRGE5,Consórcio Alfa,800,11,53,+15,30%
MRSA3B,MRS Logística,100,26,00,+4,00%
CEPE5,CELPE,100,40,12,+0,02%
TCNO4,Tecnosolo,36.800,0,85,-9,57%
TCNO3,Tecnosolo,3.400,1,20,-1,64%
CEPE6,CELPE,100,43,00,+6,17%
BKBR3,BKBR3,782.300,7,63,+0,26%
MTIG4,Metalgráfica Iguaçu,100,23,00,+0,00%
BLUT4,Blue Tech Solutions,171.100,1,52,-5,59%
BLUT3,Blue Tech Solutions,13.400,5,14,+0,59%
MODL4,Banco Modal,700,2,72,-2,16%
CARD3,CARD3,118.000,14,51,+1,82%
SHUL3,Schulz,100,27,94,-50,12%
FIGE3,Investimentos Bemge,100,12,03,+99,83%
FNCN3,Finansinos,4.800,14,25,-0,35%
TEKA3,Teka,100,8,23,+1,73%
HETA3,Hercules,200,96,00,+0,00%
LCAM3,Locamerica,26.118.900,24,15,+1,86%
BIDI4,Banco Inter,52.479.800,3,41,-2,01%
BIDI3,Banco Inter,15.262.400,3,40,-2,58%
EEEL4,CEEE GT,100,410,00,-4,27%
EEEL3,CEEE GT,400,421,01,+5,25%
BBRK3,BBRK3,1.279.600,0,80,+1,27%
